=== SEMANTIC ANOMALIES ===
Records with >=1 semantic anomaly: 880

MAG-6000434 | extreme_ppsf | Mantri Elite | apartment | 3 BHK | bath 2 | carpet 106 | super 153 | price 19540000 | floor 23 / 26 | locality dlf phase 3 | live True | verified False
ZER-6000664 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Assetz Serenity | plot | 0 BHK | bath 0 | carpet 1417 | super 1417 | price 13320000 | floor 0 / 0 | locality sector 82 | live True | verified False
MAG-6002950 | large_BHK_0balcony | Brigade Meadows | apartment | 4 BHK | bath 4 | carpet 1639 | super 2353 | price 19420000 | floor 3 / 6 | locality golf course road | live True | verified True
100-6001778 | house_many_floors | Salarpuria Habitat | independent house | 2 BHK | bath 2 | carpet 830 | super 1179 | price 16070000 | floor 3 / 30 | locality sector 82 | live True | verified False
MAG-6003455 | extreme_ppsf | Casagrand Boulevard | builder floor | 3 BHK | bath 2 | carpet 119 | super 158 | price 16300000 | floor 4 / 10 | locality new gurgaon | live True | verified True
MAG-6003062 | extreme_ppsf | Prestige  Sanctuary | builder floor | 2 BHK | bath 1 | carpet 68 | super 86 | price 13050000 | floor 4 / 14 | locality sector 49 | live True | verified True
MAG-6003280 | large_BHK_0balcony,extreme_ppsf | Godrej Boulevard Phase 1 | apartment | 5 BHK | bath 5 | carpet 181 | super 234 | price 24960000 | floor 6 / 6 | locality dlf phase 3 | live True | verified True
SQU-6000637 | house_many_floors | Brigade Residency | independent house | 3 BHK | bath 3 | carpet 1126 | super 1474 | price 14530000 | floor 27 / 27 | locality sector 65 | live False | verified True
MAG-6003029 | extreme_ppsf | Prestige Heights | villa | 2 BHK | bath 2 | carpet 75 | super 104 | price 10290000 | floor 4 / 4 | locality new gurgaon | live True | verified False
100-6000399 | large_BHK_0parking | Mantri Greens | builder floor | 5 BHK | bath 5 | carpet 1903 | super 2699 | price 36130000 | floor 11 / 15 | locality mg road | live False | verified True
ZER-6001535 | house_many_floors | Mantri Heights | independent house | 4 BHK | bath 4 | carpet 1704 | super 2284 | price 24110000 | floor 2 / 32 | locality mg road | live True | verified False
MAG-6003287 | large_BHK_0parking,extreme_ppsf | Puravankara-Habitat | apartment | 4 BHK | bath 3 | carpet 153 | super 217 | price 25170000 | floor 2 / 6 | locality mg road | live True | verified True
MAG-6001029 | extreme_ppsf | Lodha Habitat | apartment | 3 BHK | bath 2 | carpet 117 | super 164 | price 25780000 | floor 6 / 24 | locality golf course road | live True | verified False
MAG-6002160 | extreme_ppsf | Casagrand Residency | apartment | 3 BHK | bath 3 | carpet 110 | super 143 | price 18430000 | floor 7 / 21 | locality golf course road | live True | verified True
DWE-6003392 | large_BHK_0balcony,large_BHK_0parking | Rohan  Park | villa | 4 BHK | bath 3 | carpet 1623 | super 2229 | price 23190000 | floor 11 / 30 | locality sohna road | live False | verified True
ZER-6001680 | house_many_floors | Century Woods | independent house | 2 BHK | bath 2 | carpet 819 | super 1110 | price 12080000 | floor 9 / 14 | locality dwarka expressway | live True | verified True
MAG-6002769 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Adarsh Residency | plot | 0 BHK | bath 0 | carpet 2227 | super 2227 | price 26440000 | floor 0 / 0 | locality dwarka expressway | live True | verified True
MAG-6000938 | extreme_ppsf | Nitesh Enclave | apartment | 2 BHK | bath 2 | carpet 73 | super 101 | price 10130000 | floor 1 / 30 | locality dlf phase 3 | live True | verified True
DWE-6003037 | large_BHK_0parking | Nitesh Meadows | apartment | 4 BHK | bath 4 | carpet 1573 | super 2176 | price 27210000 | floor 5 / 8 | locality sector 82 | live True | verified False
SQU-6000911 | house_many_floors | Shriram Serenity | independent house | 3 BHK | bath 3 | carpet 1145 | super 1589 | price 22450000 | floor 9 / 17 | locality sector 82 | live True | verified True
100-6001503 | large_BHK_0parking | Century Enclave | apartment | 5 BHK | bath 5 | carpet 1993 | super 2639 | price 27650000 | floor 10 / 22 | locality mg road | live True | verified False
MAG-6002440 | extreme_ppsf | Shriram Park | villa | 3 BHK | bath 2 | carpet 108 | super 140 | price 14020000 | floor 17 / 30 | locality sohna road | live True | verified False
ZER-6001490 | house_many_floors | Lodha Park | independent house | 1 BHK | bath 1 | carpet 285 | super 368 | price 3730000 | floor 32 / 32 | locality sector 65 | live True | verified True
100-6001307 | large_BHK_0balcony | Puravankara Grand | villa | 4 BHK | bath 3 | carpet 1591 | super 2246 | price 15990000 | floor 4 / 13 | locality golf course road | live True | verified True
MAG-6001212 | extreme_ppsf | Mantri Serenity | apartment | 2 BHK | bath 1 | carpet 89 | super 122 | price 16100000 | floor 18 / 29 | locality sector 82 | live True | verified True
SQU-6002322 | large_BHK_0parking | Puravankara Heights | apartment | 5 BHK | bath 5 | carpet 2065 | super 2781 | price 15560000 | floor 18 / 23 | locality golf course road | live True | verified True
MAG-6002865 | house_many_floors,extreme_ppsf | Brigade Vista | independent house | 1 BHK | bath 1 | carpet 49 | super 61 | price 5040000 | floor 13 / 19 | locality golf course road | live True | verified False
DWE-6002982 | large_BHK_0parking | Lodha Heights | apartment | 4 BHK | bath 4 | carpet 1584 | super 2018 | price 23970000 | floor 5 / 8 | locality sector 49 | live True | verified False
MAG-6002129 | extreme_ppsf | Mantri Boulevard | apartment | 2 BHK | bath 1 | carpet 78 | super 103 | price 16070000 | floor 3 / 32 | locality mg road | live True | verified True
ZER-6003403 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Mantri Grand | plot | 0 BHK | bath 0 | carpet 1855 | super 1855 | price 12700000 | floor 0 / 0 | locality golf course road | live False | verified False
MAG-6001287 | extreme_ppsf | My Home Pavilion | apartment | 1 BHK | bath 1 | carpet 49 | super 64 | price 8650000 | floor 1 / 11 | locality dlf phase 3 | live True | verified True
MAG-6000248 | 0BHK+0bath,extreme_ppsf | Mantri Woods | apartment | 0 BHK | bath 0 | carpet 125 | super 174 | price 15550000 | floor 23 / 24 | locality dwarka expressway | live True | verified True
SQU-6001201 | house_many_floors | Kolte Patil Serenity | independent house | 3 BHK | bath 3 | carpet 1266 | super 1647 | price 14380000 | floor 11 / 24 | locality sector 49 | live True | verified False
SQU-6000619 | house_many_floors | Salarpuria Elite | independent house | 3 BHK | bath 3 | carpet 1180 | super 1600 | price 8640000 | floor 0 / 16 | locality sector 65 | live True | verified False
ZER-6001770 | large_BHK_0parking,house_many_floors | Brigade Willows | independent house | 4 BHK | bath 3 | carpet 1490 | super 2034 | price 26850000 | floor 6 / 18 | locality sector 65 | live True | verified False
DWE-6000243 | house_many_floors | Aparna Grand | independent house | 3 BHK | bath 3 | carpet 1172 | super 1679 | price 22550000 | floor 16 / 19 | locality dwarka expressway | live False | verified True
MAG-6002430 | extreme_ppsf | Mantri Residency | apartment | 2 BHK | bath 1 | carpet 78 | super 104 | price 15310000 | floor 1 / 8 | locality new gurgaon | live True | verified True
100-6000040 | house_many_floors | Puravankara Sanctuary | independent house | 3 BHK | bath 2 | carpet 1161 | super 1472 | price 20000000 | floor 4 / 20 | locality dwarka expressway | live False | verified False
MAG-6000630 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Puravankara Terraces | plot | 0 BHK | bath 0 | carpet 1510 | super 1510 | price 16960000 | floor 0 / 0 | locality sector 56 | live True | verified True
MAG-6002798 | extreme_ppsf | Kolte Patil Habitat | builder floor | 2 BHK | bath 1 | carpet 68 | super 86 | price 9310000 | floor 10 / 18 | locality golf course road | live True | verified True
SQU-6002566 | large_BHK_0parking | Adarsh Willows | apartment | 4 BHK | bath 4 | carpet 1595 | super 2312 | price 20560000 | floor 16 / 16 | locality mg road | live False | verified False
MAG-6002967 | extreme_ppsf | Sobha Grand | apartment | 3 BHK | bath 2 | carpet 123 | super 173 | price 19320000 | floor 4 / 27 | locality mg road | live True | verified True
100-6003374 | house_many_floors | Brigade  Enclave | independent house | 2 BHK | bath 2 | carpet 823 | super 1172 | price 17670000 | floor 24 / 28 | locality sector 82 | live True | verified False
MAG-6000055 | extreme_ppsf | Century Willows | apartment | 1 BHK | bath 1 | carpet 49 | super 70 | price 7030000 | floor 4 / 12 | locality sector 56 | live False | verified True
MAG-6002419 | large_BHK_0balcony | Aparna Boulevard | apartment | 4 BHK | bath 3 | carpet 1577 | super 2010 | price 25300000 | floor 10 / 16 | locality sector 49 | live True | verified False
100-6002249 | large_BHK_0parking,house_many_floors | Lodha Sanctuary | independent house | 4 BHK | bath 4 | carpet 1572 | super 2190 | price 28580000 | floor 6 / 22 | locality dlf phase 3 | live True | verified True
100-6003401 | large_BHK_0parking | Kolte Patil Sanctuary Apartments | apartment | 5 BHK | bath 5 | carpet 1827 | super 2278 | price 20570000 | floor 6 / 20 | locality sector 65 | live False | verified True
100-6002064 | large_BHK_0parking | Sobha Pavilion | apartment | 4 BHK | bath 3 | carpet 1538 | super 2107 | price 23110000 | floor 20 / 21 | locality sector 65 | live True | verified True
DWE-6002179 | house_many_floors | Prestige Residency | independent house | 2 BHK | bath 1 | carpet 965 | super 1308 | price 18050000 | floor 0 / 31 | locality mg road | live False | verified False
DWE-6002627 | house_many_floors | Assetz Heights | independent house | 2 BHK | bath 2 | carpet 820 | super 1151 | price 7880000 | floor 6 / 12 | locality sector 49 | live True | verified True
100-6001919 | large_BHK_0balcony | Salarpuria Meadows | apartment | 4 BHK | bath 4 | carpet 1573 | super 2226 | price 19480000 | floor 11 / 12 | locality sector 65 | live False | verified True
SQU-6001876 | large_BHK_0balcony | Brigade Meadows | apartment | 4 BHK | bath 4 | carpet 1642 | super 2199 | price 19250000 | floor 16 / 17 | locality dwarka expressway | live True | verified False
MAG-6001991 | house_many_floors,extreme_ppsf | Lodha Heights | independent house | 3 BHK | bath 3 | carpet 122 | super 153 | price 16890000 | floor 8 / 28 | locality sector 56 | live True | verified True
100-6001808 | large_BHK_0parking | Puravankara Serenity | apartment | 4 BHK | bath 4 | carpet 1555 | super 2101 | price 27800000 | floor 3 / 9 | locality dlf phase 3 | live True | verified True
SQU-6000069 | house_many_floors | Prestige Elite | independent house | 3 BHK | bath 2 | carpet 1214 | super 1517 | price 22700000 | floor 17 / 22 | locality dlf phase 3 | live True | verified True
MAG-6002404 | extreme_ppsf | Lodha Grand | apartment | 3 BHK | bath 2 | carpet 110 | super 147 | price 21290000 | floor 15 / 15 | locality sector 65 | live True | verified True
100-6001811 | house_many_floors | Sobha Boulevard | independent house | 2 BHK | bath 2 | carpet 877 | super 1234 | price 9630000 | floor 15 / 18 | locality mg road | live True | verified True
MAG-6001657 | extreme_ppsf | Godrej Woods | apartment | 2 BHK | bath 2 | carpet 81 | super 102 | price 13340000 | floor 12 / 14 | locality sohna road | live True | verified True
MAG-6001544 | extreme_ppsf | Godrej Crest | apartment | 1 BHK | bath 1 | carpet 47 | super 64 | price 4840000 | floor 16 / 26 | locality dwarka expressway | live True | verified True
MAG-6000100 | extreme_ppsf | Puravankara Elite | villa | 3 BHK | bath 3 | carpet 114 | super 160 | price 24180000 | floor 1 / 5 | locality sohna road | live True | verified False
SQU-6000446 | large_BHK_0balcony,large_BHK_0parking,house_many_floors | Brigade Elite | independent house | 4 BHK | bath 4 | carpet 1627 | super 2275 | price 26560000 | floor 8 / 31 | locality golf course road | live False | verified True
DWE-6003302 | large_BHK_0balcony | Shriram  Terraces | apartment | 5 BHK | bath 4 | carpet 1989 | super 2690 | price 20340000 | floor 8 / 16 | locality dlf phase 3 | live True | verified False
100-6000229 | large_BHK_0balcony | Kolte Patil Woods | apartment | 4 BHK | bath 3 | carpet 1625 | super 2271 | price 26730000 | floor 15 / 17 | locality new gurgaon | live True | verified False
SQU-6002520 | large_BHK_0parking | Sobha Enclave | apartment | 5 BHK | bath 4 | carpet 1889 | super 2602 | price 36370000 | floor 19 / 32 | locality sector 49 | live False | verified True
SQU-6002568 | large_BHK_0parking,house_many_floors | Brigade Habitat | independent house | 5 BHK | bath 4 | carpet 1945 | super 2747 | price 32480000 | floor 9 / 12 | locality new gurgaon | live True | verified True
MAG-6000558 | house_many_floors | Brigade Willows | independent house | 3 BHK | bath 2 | carpet 109 | super 140 | price 10380000 | floor 8 / 22 | locality dlf phase 3 | live True | verified True
MAG-6002941 | extreme_ppsf | Aparna Willows | apartment | 5 BHK | bath 4 | carpet 180 | super 229 | price 17250 | floor 14 / 30 | locality dwarka expressway | live True | verified False
SQU-6001683 | large_BHK_0parking | Puravankara Elite | apartment | 4 BHK | bath 3 | carpet 1437 | super 2038 | price 18220000 | floor 3 / 8 | locality sector 49 | live True | verified True
MAG-6003165 | extreme_ppsf | Prestige Grand Apartments | apartment | 2 BHK | bath 1 | carpet 75 | super 96 | price 10950000 | floor 17 / 27 | locality sector 56 | live True | verified True
MAG-6000129 | house_many_floors,extreme_ppsf | Casagrand Meadows | independent house | 1 BHK | bath 1 | carpet 36 | super 45 | price 3830000 | floor 5 / 21 | locality sector 49 | live True | verified True
ZER-6002616 | large_BHK_0parking | Adarsh Enclave | apartment | 4 BHK | bath 3 | carpet 1624 | super 2244 | price 22890000 | floor 10 / 32 | locality sector 56 | live True | verified True
100-6002458 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Sobha Serenity | plot | 0 BHK | bath 0 | carpet 1246 | super 1246 | price 7230000 | floor 0 / 0 | locality mg road | live True | verified True
MAG-6002880 | extreme_ppsf | Godrej Enclave | builder floor | 2 BHK | bath 1 | carpet 68 | super 92 | price 7500000 | floor 11 / 26 | locality new gurgaon | live False | verified True
100-6000377 | large_BHK_0parking | Century Pavilion | apartment | 4 BHK | bath 4 | carpet 1531 | super 2173 | price 31940000 | floor 25 / 30 | locality dwarka expressway | live True | verified True
100-6001726 | large_BHK_0parking | Shriram Pavilion | apartment | 4 BHK | bath 3 | carpet 1546 | super 2020 | price 18450000 | floor 30 / 30 | locality sector 82 | live False | verified False
DWE-6001424 | large_BHK_0balcony | Salarpuria Willows | apartment | 4 BHK | bath 4 | carpet 1562 | super 2068 | price 18990000 | floor 8 / 20 | locality sector 56 | live True | verified False
SQU-6002319 | large_BHK_0balcony,large_BHK_0parking,house_many_floors | Aparna Vista | independent house | 5 BHK | bath 5 | carpet 1883 | super 2625 | price 19850000 | floor 11 / 18 | locality dwarka expressway | live True | verified True
DWE-6001584 | house_many_floors | Shriram Meadows | independent house | 3 BHK | bath 3 | carpet 1128 | super 1484 | price 21970000 | floor 4 / 31 | locality sohna road | live True | verified True
DWE-6000832 | large_BHK_0parking | Adarsh Terraces | apartment | 4 BHK | bath 4 | carpet 1526 | super 1964 | price 10720000 | floor 3 / 31 | locality dwarka expressway | live True | verified True
MAG-6001724 | extreme_ppsf | Adarsh Sanctuary | builder floor | 4 BHK | bath 4 | carpet 143 | super 204 | price 17970000 | floor 12 / 18 | locality sector 82 | live True | verified True
100-6002828 | house_many_floors | Godrej Enclave | independent house | 4 BHK | bath 3 | carpet 1566 | super 2115 | price 20940000 | floor 10 / 15 | locality sector 65 | live True | verified True
MAG-6001124 | extreme_ppsf | Godrej Residency | apartment | 2 BHK | bath 1 | carpet 90 | super 119 | price 15040000 | floor 0 / 12 | locality dlf phase 3 | live True | verified False
SQU-6003030 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Nitesh Vista | plot | 0 BHK | bath 0 | carpet 2149 | super 2149 | price 23580000 | floor 0 / 0 | locality dwarka expressway | live True | verified False
MAG-6001455 | extreme_ppsf | Sobha Residency | apartment | 1 BHK | bath 1 | carpet 45 | super 63 | price 4950000 | floor 4 / 10 | locality dwarka expressway | live True | verified True
ZER-6003274 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Godrej Boulevard | plot | 0 BHK | bath 0 | carpet 1608 | super 1608 | price 8730000 | floor 0 / 0 | locality dlf phase 3 | live True | verified True
ZER-6000236 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Sobha Woods | plot | 0 BHK | bath 0 | carpet 2800 | super 2800 | price 31720000 | floor 0 / 0 | locality dlf phase 3 | live True | verified False
ZER-6002700 | house_many_floors | Puravankara Habitat | independent house | 2 BHK | bath 2 | carpet 860 | super 1227 | price 15680000 | floor 4 / 20 | locality sector 82 | live True | verified True
100-6002241 | house_many_floors | Brigade Greens | independent house | 5 BHK | bath 5 | carpet 1944 | super 2760 | price 38890000 | floor 7 / 12 | locality dwarka expressway | live True | verified False
DWE-6000464 | large_BHK_0parking | Shriram Vista | apartment | 4 BHK | bath 3 | carpet 1571 | super 2161 | price 27070000 | floor 7 / 24 | locality sector 56 | live False | verified False
MAG-6000713 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Century Residency | plot | 0 BHK | bath 0 | carpet 1908 | super 1908 | price 10920000 | floor 0 / 0 | locality dwarka expressway | live True | verified False
MAG-6000661 | extreme_ppsf | Lodha Pavilion | apartment | 3 BHK | bath 3 | carpet 103 | super 137 | price 19890000 | floor 0 / 4 | locality sector 49 | live True | verified True
100-6002359 | large_BHK_0balcony,large_BHK_0parking | Mantri Greens | apartment | 4 BHK | bath 4 | carpet 1573 | super 2249 | price 10090000 | floor 8 / 10 | locality mg road | live True | verified True
MAG-6001163 | extreme_ppsf | Century Habitat | apartment | 2 BHK | bath 2 | carpet 72 | super 102 | price 10160000 | floor 16 / 23 | locality sector 65 | live True | verified False
MAG-6003093 | extreme_ppsf | The Shriram Sanctuary | apartment | 3 BHK | bath 3 | carpet 104 | super 143 | price 20000000 | floor 8 / 31 | locality sohna road | live True | verified True
MAG-6000614 | large_BHK_0parking,extreme_ppsf | Salarpuria Meadows | apartment | 4 BHK | bath 4 | carpet 153 | super 205 | price 15780000 | floor 5 / 9 | locality sohna road | live True | verified True
MAG-6003013 | large_BHK_0parking | Sobha Serenity | apartment | 4 BHK | bath 3 | carpet 1571 | super 2102 | price 22890000 | floor 9 / 10 | locality new gurgaon | live False | verified False
MAG-6002611 | extreme_ppsf | Brigade Serenity | apartment | 4 BHK | bath 4 | carpet 141 | super 192 | price 22390000 | floor 6 / 26 | locality mg road | live True | verified False
MAG-6000427 | extreme_ppsf | Mantri Park | builder floor | 2 BHK | bath 1 | carpet 72 | super 102 | price 7570000 | floor 0 / 21 | locality dwarka expressway | live True | verified False
SQU-6001580 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Brigade Elite | plot | 0 BHK | bath 0 | carpet 1274 | super 1274 | price 12820000 | floor 0 / 0 | locality new gurgaon | live True | verified True
MAG-6003494 | extreme_ppsf | KOLTE PATIL WILLOWS | apartment | 2 BHK | bath 1 | carpet 77 | super 107 | price 8130000 | floor 2 / 7 | locality sector 65 | live False | verified False
ZER-6001371 | large_BHK_0parking | Mantri Pavilion | apartment | 5 BHK | bath 4 | carpet 2014 | super 2831 | price 31370000 | floor 7 / 14 | locality new gurgaon | live True | verified False
DWE-6002804 | large_BHK_0parking | Shriram Boulevard | apartment | 4 BHK | bath 4 | carpet 1588 | super 2302 | price 18830000 | floor 0 / 10 | locality sector 65 | live True | verified True
100-6000026 | house_many_floors | Mantri Habitat | independent house | 3 BHK | bath 2 | carpet 1303 | super 1764 | price 25350000 | floor 3 / 22 | locality sohna road | live True | verified True
100-6003492 | large_BHK_0parking | Puravankara  Serenity | apartment | 4 BHK | bath 3 | carpet 1687 | super 2135 | price 31330000 | floor 8 / 18 | locality sector 56 | live True | verified True
100-6002344 | large_BHK_0balcony | Brigade Habitat | builder floor | 4 BHK | bath 3 | carpet 1616 | super 2030 | price 27710000 | floor 20 / 30 | locality sector 56 | live True | verified True
SQU-6002340 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Prestige Vista | plot | 0 BHK | bath 0 | carpet 1173 | super 1173 | price 6240000 | floor 0 / 0 | locality new gurgaon | live True | verified True
SQU-6000206 | house_many_floors | Lodha Woods | independent house | 1 BHK | bath 1 | carpet 475 | super 640 | price 4410000 | floor 14 / 23 | locality mg road | live True | verified False
DWE-6000108 | large_BHK_0parking | Puravankara Boulevard | apartment | 4 BHK | bath 4 | carpet 1509 | super 1928 | price 13030000 | floor 2 / 8 | locality sohna road | live True | verified True
MAG-6000273 | extreme_ppsf | Mantri Heights | apartment | 4 BHK | bath 3 | carpet 146 | super 211 | price 31330000 | floor 1 / 26 | locality new gurgaon | live True | verified True
MAG-6003257 | extreme_ppsf | Puravankara Vista Phase 1 | independent house | 2 BHK | bath 2 | carpet 82 | super 105 | price 15830000 | floor 0 / 9 | locality sohna road | live True | verified False
DWE-6002797 | large_BHK_0balcony,large_BHK_0parking | Aparna Crest | apartment | 4 BHK | bath 4 | carpet 1526 | super 2144 | price 16240000 | floor 15 / 20 | locality mg road | live True | verified False
MAG-6000687 | extreme_ppsf | Aparna Meadows | apartment | 3 BHK | bath 3 | carpet 106 | super 136 | price 20080000 | floor 7 / 22 | locality golf course road | live True | verified False
MAG-6001520 | extreme_ppsf | Puravankara Enclave | apartment | 3 BHK | bath 3 | carpet 106 | super 153 | price 23990000 | floor 0 / 10 | locality sector 56 | live True | verified True
MAG-6000755 | extreme_ppsf | Mantri Terraces | apartment | 3 BHK | bath 3 | carpet 106 | super 145 | price 16330000 | floor 9 / 18 | locality sohna road | live True | verified True
MAG-6001363 | extreme_ppsf | Mantri Woods | apartment | 3 BHK | bath 3 | carpet 101 | super 134 | price 20590000 | floor 17 / 24 | locality dwarka expressway | live True | verified True
SQU-6002354 | large_BHK_0parking | Salarpuria Vista | villa | 4 BHK | bath 4 | carpet 1576 | super 1986 | price 21710000 | floor 3 / 24 | locality dwarka expressway | live True | verified True
SQU-6000303 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Brigade Elite | plot | 0 BHK | bath 0 | carpet 973 | super 973 | price 5700000 | floor 0 / 0 | locality sohna road | live True | verified True
DWE-6000730 | house_many_floors | Rohan Vista | independent house | 2 BHK | bath 1 | carpet 828 | super 1196 | price 10980000 | floor 24 / 31 | locality sector 49 | live True | verified True
DWE-6003190 | house_many_floors | Brigade Heights Phase 1 | independent house | 3 BHK | bath 3 | carpet 1210 | super 1631 | price 15340000 | floor 25 / 29 | locality sohna road | live False | verified True
ZER-6001469 | house_many_floors | Rohan Meadows | independent house | 3 BHK | bath 2 | carpet 1238 | super 1750 | price 19180000 | floor 2 / 26 | locality dlf phase 3 | live True | verified True
MAG-6002406 | extreme_ppsf | Nitesh Willows | apartment | 3 BHK | bath 3 | carpet 108 | super 143 | price 22010000 | floor 9 / 12 | locality sector 65 | live True | verified False
SQU-6001470 | large_BHK_0balcony,large_BHK_0parking | Sobha Willows | apartment | 5 BHK | bath 5 | carpet 1908 | super 2728 | price 20320000 | floor 8 / 12 | locality golf course road | live True | verified False
MAG-6000119 | extreme_ppsf | Mantri Heights | apartment | 3 BHK | bath 2 | carpet 111 | super 140 | price 16770000 | floor 5 / 5 | locality sohna road | live False | verified True
DWE-6003263 | house_many_floors | Shriram Habitat Apartments | independent house | 2 BHK | bath 2 | carpet 878 | super 1100 | price 8710000 | floor 0 / 11 | locality sector 65 | live True | verified False
100-6000297 | large_BHK_0balcony | Century Terraces | villa | 5 BHK | bath 5 | carpet 1999 | super 2722 | price 18360000 | floor 9 / 18 | locality sector 82 | live True | verified False
MAG-6001682 | extreme_ppsf | Prestige Enclave | apartment | 3 BHK | bath 3 | carpet 114 | super 158 | price 24030000 | floor 11 / 14 | locality sector 56 | live True | verified False
MAG-6001130 | extreme_ppsf | Godrej Meadows | apartment | 2 BHK | bath 1 | carpet 78 | super 110 | price 16550000 | floor 3 / 22 | locality new gurgaon | live False | verified True
MAG-6001372 | extreme_ppsf | Adarsh Vista | apartment | 3 BHK | bath 2 | carpet 105 | super 140 | price 13120000 | floor 9 / 11 | locality dwarka expressway | live True | verified True
MAG-6001381 | large_BHK_0parking | Casagrand Willows | apartment | 4 BHK | bath 3 | carpet 1499 | super 2111 | price 22020000 | floor 5 / 9 | locality dlf phase 3 | live False | verified True
100-6001902 | house_many_floors | Shriram Heights | independent house | 3 BHK | bath 2 | carpet 1137 | super 1424 | price 11520000 | floor 3 / 20 | locality sector 65 | live True | verified True
100-6002060 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Kolte Patil Greens | plot | 0 BHK | bath 0 | carpet 1503 | super 1503 | price 12120000 | floor 0 / 0 | locality sohna road | live True | verified False
100-6002100 | large_BHK_0parking | Shriram Vista | apartment | 4 BHK | bath 4 | carpet 1616 | super 2234 | price 21920000 | floor 13 / 14 | locality mg road | live True | verified False
MAG-6001041 | extreme_ppsf | Prestige Residency | apartment | 1 BHK | bath 1 | carpet 37 | super 50 | price 7620000 | floor 0 / 4 | locality mg road | live True | verified False
MAG-6002336 | extreme_ppsf | Kolte Patil Residency | apartment | 2 BHK | bath 2 | carpet 90 | super 131 | price 16680000 | floor 6 / 12 | locality sector 49 | live True | verified True
SQU-6000440 | large_BHK_0parking | Prestige Serenity | apartment | 4 BHK | bath 3 | carpet 1578 | super 2255 | price 14980000 | floor 8 / 14 | locality sector 65 | live False | verified True
MAG-6001833 | house_many_floors | Brigade Park | independent house | 3 BHK | bath 2 | carpet 1250 | super 1568 | price 15910000 | floor 1 / 21 | locality dlf phase 3 | live True | verified True
MAG-6002343 | extreme_ppsf | Rohan Sanctuary | apartment | 2 BHK | bath 1 | carpet 79 | super 102 | price 9600000 | floor 17 / 18 | locality sector 65 | live True | verified False
MAG-6001276 | extreme_ppsf | Kolte Patil Woods | builder floor | 2 BHK | bath 1 | carpet 80 | super 108 | price 12490000 | floor 3 / 7 | locality sector 56 | live False | verified False
MAG-6002007 | house_many_floors,extreme_ppsf | Puravankara Pavilion | independent house | 2 BHK | bath 2 | carpet 82 | super 113 | price 13040000 | floor 12 / 26 | locality dlf phase 3 | live True | verified True
ZER-6000509 | large_BHK_0parking | Assetz Habitat | apartment | 5 BHK | bath 5 | carpet 1776 | super 2298 | price 17820000 | floor 11 / 32 | locality golf course road | live True | verified True
DWE-6002233 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Kolte Patil Park | plot | 0 BHK | bath 0 | carpet 1662 | super 1662 | price 11540000 | floor 0 / 0 | locality dwarka expressway | live True | verified False
MAG-6002295 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Kolte Patil Willows | plot | 0 BHK | bath 0 | carpet 1688 | super 1688 | price 17440000 | floor 0 / 0 | locality sector 49 | live True | verified True
SQU-6001464 | house_many_floors | Brigade Heights | independent house | 3 BHK | bath 3 | carpet 1262 | super 1809 | price 23490000 | floor 6 / 20 | locality sector 56 | live True | verified True
MAG-6003358 | large_BHK_0parking | The Century Enclave | apartment | 5 BHK | bath 5 | carpet 187 | super 244 | price 11760000 | floor 10 / 22 | locality mg road | live True | verified True
MAG-6001279 | extreme_ppsf | Lodha Vista | apartment | 3 BHK | bath 3 | carpet 123 | super 174 | price 27800000 | floor 1 / 19 | locality sector 56 | live True | verified True
100-6000101 | large_BHK_0parking | Sobha Greens | apartment | 4 BHK | bath 4 | carpet 1639 | super 2055 | price 27860000 | floor 17 / 21 | locality new gurgaon | live True | verified True
SQU-6002693 | large_BHK_0balcony | Prestige Heights | apartment | 4 BHK | bath 3 | carpet 1529 | super 2216 | price 19360000 | floor 19 / 31 | locality golf course road | live True | verified True
DWE-6001929 | large_BHK_0parking | Prestige Elite | apartment | 5 BHK | bath 5 | carpet 1865 | super 2347 | price 25510000 | floor 3 / 14 | locality sohna road | live True | verified True
SQU-6001613 | large_BHK_0parking | My Home Serenity | apartment | 5 BHK | bath 4 | carpet 1896 | super 2599 | price 31750000 | floor 0 / 4 | locality mg road | live True | verified False
DWE-6002008 | large_BHK_0parking | Brigade Woods | apartment | 4 BHK | bath 3 | carpet 1550 | super 2120 | price 17460000 | floor 15 / 27 | locality sector 82 | live False | verified True
